"M&A SDC Deal Number","Date Announced","Rank Value inc. Net Debt of Target
(USD, Millions)","Target Full Name","Target Macro Industry","Target Mid Industry","Target Nation","Acquiror Full Name","Acquiror Macro Industry","Acquiror Mid Industry","Acquiror Nation","M&A Type","M&A TRBC Activity
('|')","Acquiror Nation of Primary Stock Exchange","Deal Status",,,
3453073040,2019/09/15,"4638,36859143266","Dream Global Real Estate Investment Trust","Real Estate",REITs,Canada,"Blackstone Group Inc",Financials,"Alternative Financial Investments","United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
2765757020,2015/06/22,"6811,807","Home Properties Inc","Real Estate",REITs,"United States","Lone Star Funds",Financials,"Alternative Financial Investments","United States","Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
2472768020,2012/11/30,"837,964","Apple REIT Six Inc","Real Estate",REITs,"United States","BRE Select Hotels Corp",Financials,"Alternative Financial Investments","United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
2280645020,2011/10/10,"4,366","Prime Group Realty Trust","Real Estate",REITs,"United States","Five Mile Capital Partners LLC",Financials,"Alternative Financial Investments","United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1446722020,2003/10/31,80,"National Medical Health Card Systems Inc",Financials,Insurance,"United States","New Mountain Capital LLC",Financials,"Alternative Financial Investments","United States","Disclosed Dollar Value Deal","Healthcare REITs",,Completed,,,
1234741020,2001/11/01,50,"Omega Healthcare Investors Inc","Real Estate",REITs,"United States","Explorer Holdings LP",Financials,"Alternative Financial Investments","United States","Disclosed Dollar Value Deal","Healthcare REITs",,Completed,,,
2899175020,2016/01/19,"2378,236","Rouse Properties Inc","Real Estate",REITs,"United States","Brookfield Asset Management Inc",Financials,"Asset Management",Canada,"Disclosed Dollar Value Deal","Retail REITs",Canada,Completed,,,
2805310040,2015/09/25,"319,25102464769","CeGeREAL SA","Real Estate",REITs,France,"Northwood Investors LLC",Financials,"Asset Management","United States","Disclosed Dollar Value Deal","Office REITs",,Completed,,,
2805385040,2015/09/25,"208,883700123294","CeGeREAL SA","Real Estate",REITs,France,"Northwood Investors LLC",Financials,"Asset Management","United States","Disclosed Dollar Value Deal","Office REITs",,Completed,,,
2753450040,2015/05/15,"2805,99698842271","Capital Property Fund Ltd","Real Estate",REITs,"South Africa","Fortress Income Fund Ltd",Financials,"Asset Management","South Africa","Disclosed Dollar Value Deal","Commercial REITs (NEC)","South Africa",Completed,,,
2745495020,2015/04/22,"2485,997","Associated Estates Realty Corp","Real Estate",REITs,"United States","Brookfield Asset Management Inc",Financials,"Asset Management",Canada,"Disclosed Dollar Value Deal","Residential REITs",Canada,Completed,,,
2073648040,2009/05/15,"6,70562182782142","MacarthurCook Ltd","Real Estate",REITs,Australia,"AIMS Securities Holdings Pty Ltd",Financials,"Asset Management",Australia,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
2044886040,2008/03/26,"23,1127679403541","Fountainhead Property Trust","Real Estate",REITs,"South Africa","Liberty Group Ltd",Financials,"Asset Management","South Africa","Disclosed Dollar Value Deal","Commercial REITs (NEC)","South Africa",Completed,,,
1887492040,2007/07/11,"0,513775653640708","Hyundai Properties REIT","Real Estate",REITs,Bulgaria,"Chimimport AD",Financials,"Asset Management",Bulgaria,"Disclosed Dollar Value Deal","Hospitality REITs",Bulgaria,Completed,,,
1381093040,2003/01/27,"377,569995410137","Dundee Realty Corp","Real Estate","Real Estate Management & Development",Canada,"Dundee Bancorp Inc",Financials,Brokerage,Canada,"Disclosed Dollar Value Deal","Office REITs",Canada,Completed,,,
13801020,1986/08/28,"41,098","Staff Builders Inc","Consumer Products and Services","Employment Services","United States","Tender Loving Care Health Care Services Inc(Staff Builders Inc)","Consumer Products and Services","Employment Services","United States","Disclosed Dollar Value Deal","Healthcare REITs","United States",Completed,,,
152727043,1983/05/06,"7,216","Mission West Properties Inc","Real Estate",REITs,"United States","Intermark Inc",Retail,"Food & Beverage Retailing","United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
721974020,1997/01/01,2,"Pinnacle Holdings Inc",Telecommunications,"Other Telecom","United States","Sales Force Companies Inc","Consumer Staples","Food and Beverage","United States","Disclosed Dollar Value Deal","Specialized REITs (NEC)",,Completed,,,
2021455040,2008/10/22,"6,42880685563612","Med-Emerg International Inc",Healthcare,"Healthcare Providers & Services (HMOs)",Canada,"AIM Health Group Inc",Healthcare,"Healthcare Providers & Services (HMOs)",Canada,"Disclosed Dollar Value Deal","Healthcare REITs",Canada,Completed,,,
1943371020,2008/01/15,"116,31","VistaCare Inc",Healthcare,"Healthcare Providers & Services (HMOs)","United States","Odyssey HealthCare Inc",Healthcare,"Healthcare Providers & Services (HMOs)","United States","Disclosed Dollar Value Deal","Healthcare REITs","United States",Completed,,,
2956661040,2016/05/10,"1619,54093048376","InnVest Real Estate Investment Trust","Real Estate",REITs,Canada,"Bluesky Hotels & Resorts Inc","Media and Entertainment","Hotels and Lodging",Canada,"Disclosed Dollar Value Deal","Hospitality REITs",,Completed,,,
2351732040,2011/10/07,"672,851354233312","Fonciere Paris France SA","Real Estate","Other Real Estate",France,"PHRV Paris Hotel Roissy Vaugirard SA","Media and Entertainment","Hotels and Lodging",France,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
987688040,2000/03/20,"1370,60008800982","Diligentia AB","Real Estate","Real Estate Management & Development",Sweden,"Livforsakrings AB Skandia",Financials,Insurance,Sweden,"Disclosed Dollar Value Deal","Diversified REITs",,Completed,,,
1955595020,2008/02/26,"62,043","National Medical Health Card Systems Inc",Financials,Insurance,"United States","SXC Health Solutions Corp","High Technology","IT Consulting & Services","United States","Disclosed Dollar Value Deal","Healthcare REITs","United States",Completed,,,
2675070020,2014/09/16,"4123,602","Glimcher Realty Trust","Real Estate",REITs,"United States","Washington Prime Group Inc","Real Estate","Non Residential","United States","Disclosed Dollar Value Deal","Retail REITs","United States",Completed,,,
2520722040,2013/05/08,"799,508153603367","Prime Office REIT-AG","Real Estate",REITs,Germany,"OCM German Real Estate Holding AG","Real Estate","Non Residential",Germany,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
2516302020,2013/04/25,"1931,675","MPG Office Trust Inc","Real Estate",REITs,"United States","Brookfield Office Properties Inc","Real Estate","Non Residential",Canada,"Disclosed Dollar Value Deal","Office REITs",Canada,Completed,,,
1317883040,2002/08/07,"3707,65788660667","Simco SA","Real Estate","Non Residential",France,"Gecina SA","Real Estate","Non Residential",France,"Disclosed Dollar Value Deal","Diversified REITs",France,Completed,,,
3648513020,2020/10/15,14600,"BioMed Realty Trust Inc","Real Estate",REITs,"United States","Investor Group",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
3251300020,2018/06/25,"4293,312","Education Realty Trust Inc","Real Estate",REITs,"United States","Greystar Student Housing Growth & Income Fund LP",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
3241685020,2018/05/07,"7249,57","Gramercy Property Trust","Real Estate",REITs,"United States","Blackstone Real Estate Partners VIII LP",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Office REITs",,Completed,,,
3346720040,2018/02/07,"42,4551199597338","Officiis Properties SA","Real Estate",REITs,France,"REOF Holding SARL",Financials,"Other Financials",Luxembourg,"Disclosed Dollar Value Deal","Office REITs",,Completed,,,
3011695020,2017/07/04,"2986,232","Monogram Residential Trust Inc","Real Estate",REITs,"United States","Monogram Residential Trust Inc SPV",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
3080514040,2017/02/06,"50,8077051501998","Paris Realty Fund SA","Real Estate","Real Estate Management & Development",France,"Fosun Luxembourg Holdings SARL",Financials,"Other Financials",Luxembourg,"Disclosed Dollar Value Deal","Diversified REITs",,Completed,,,
3067109040,2017/02/02,"130,315413909589","Park Leisure 2000 Ltd","Real Estate","Non Residential","United Kingdom","Investor Group",Financials,"Other Financials","United Kingdom","Disclosed Dollar Value Deal","Hospitality REITs",,Completed,,,
2813577020,2015/10/22,"1920,029","Landmark Apartment Trust Inc","Real Estate",REITs,"United States","Monument Partners LLC",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
2803929020,2015/10/08,"7781,233","BioMed Realty Trust Inc","Real Estate",REITs,"United States","Blackstone Real Estate Partners VIII LP",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
2591991020,2013/12/10,"3268,305","Colony Financial Inc","Real Estate",REITs,"United States",Shareholders,Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
2575227040,2013/10/11,"3045,81197503552","Commonwealth Property Office Fund","Real Estate",REITs,Australia,"Investor Group",Financials,"Other Financials",Canada,"Disclosed Dollar Value Deal","Office REITs",,Completed,,,
2455979040,2012/10/02,"882,576272604617","Shopping Centres Australasia Property Group","Real Estate",REITs,Australia,Shareholders,Financials,"Other Financials",Australia,"Disclosed Dollar Value Deal","Retail REITs",,Completed,,,
2535425040,2012/09/17,"6,61482077411281","AIRE GmbH & Co KGaA","Real Estate",REITs,Germany,"AIG Century GmbH & Co KGaA",Financials,"Other Financials",Germany,"Disclosed Dollar Value Deal","Diversified REITs",,Completed,,,
2437154020,2012/07/26,366,"Verde Realty Operating Partnership LP","Real Estate",REITs,"United States","Investor Group",Financials,"Other Financials",Canada,"Disclosed Dollar Value Deal","Industrial REITs",,Completed,,,
2425342040,2012/06/12,"9,41257005947033","KB-Bookook No.1 Development Co Ltd","Real Estate",REITs,"South Korea","Investor Group",Financials,"Other Financials","South Korea","Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
2434535040,2012/05/18,"17,2346640701071","AIRE GmbH & Co KGaA","Real Estate",REITs,Germany,"AIG Century GmbH & Co KGaA",Financials,"Other Financials",Germany,"Disclosed Dollar Value Deal","Diversified REITs",,Completed,,,
2409304040,2012/04/26,"2294,72134808649","TransGlobe Apartment Real Estate Investment Trust","Real Estate",REITs,Canada,"Investor Group",Financials,"Other Financials",Canada,"Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
2340423040,2011/08/28,"1087,68306881549","Charter Hall Office REIT","Real Estate",REITs,Australia,"Investor Group",Financials,"Other Financials",Australia,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
2334134020,2011/08/01,"1485,672624","Rouse Properties Inc","Real Estate",REITs,"United States",Shareholders,Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Retail REITs",,Completed,,,
2164920020,2010/03/16,"140,124","Care Investment Trust Inc","Real Estate",REITs,"United States","Tiptree Financial Partners LP",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Healthcare REITs",,Completed,,,
2170408020,2010/03/08,4555,"General Growth Properties Inc","Real Estate",REITs,"United States","Investor Group",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Retail REITs",,Completed,,,
2007507040,2008/12/17,"49,4663754095803","Ascribe PLC","High Technology",Software,"United Kingdom","Scroll Bidco Ltd",Financials,"Other Financials","United Kingdom","Disclosed Dollar Value Deal","Healthcare REITs",,Completed,,,
1992307040,2008/07/01,"86,6523821527603","Fondi Immobiliari Italiani SGR SpA{Fimit}",Financials,"Asset Management",Italy,"Investor Group",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Diversified REITs",,Completed,,,
1522455040,2007/07/12,"2260,21901300689","Legacy Hotels Real Estate Investment Trust","Real Estate",REITs,Canada,"LGY Acquisition LP",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Hospitality REITs",,Completed,,,
1861672020,2007/04/24,"1908,416","Highland Hospitality Corp","Real Estate",REITs,"United States","JER Partners Acquisitions IV LLC",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1859180020,2007/04/16,"1462,731","Innkeepers USA Trust","Real Estate",REITs,"United States","Apollo Investment Corp",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Hospitality REITs","United States",Completed,,,
1848075020,2007/03/12,"3397,675","Spirit Finance Corp","Real Estate",REITs,"United States","Redford Holdco LLC",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1840767020,2007/02/16,"187,618","Fieldstone Investment Corp","Real Estate",REITs,"United States","Credit-Based Asset Servicing & Securitization LLC",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
1837084020,2007/02/05,"6601,331","Mills Corp","Real Estate",REITs,"United States","Investor Group",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1814802040,2006/11/22,"1554,71879656749","Regal Real Estate Investment Trust","Real Estate",REITs,"Hong Kong",Shareholders,Financials,"Other Financials","Hong Kong","Disclosed Dollar Value Deal","Hospitality REITs",,Completed,,,
1763183020,2006/05/25,"334,012","Aames Investment Corp",Financials,"Other Financials","United States","Accredited Home Lenders Holding Co",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Mortgage REITs",,Completed,,,
1722801020,2005/12/22,"4633,913","Arden Realty Inc","Real Estate",REITs,"United States","GE Capital Real Estate",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1694833040,2005/08/17,"555,840250210514","Prime Real Estate Investment Trust{Prime REIT}","Real Estate",REITs,Singapore,Investors(Non-US),Financials,"Other Financials",,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1620800040,2004/11/24,"2558,48808863551","Link Real Estate Investment Trust","Real Estate",REITs,"Hong Kong",Investors,Financials,"Other Financials","Hong Kong","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1412526040,2003/07/07,"1167,89618297936","MI Developments Inc","Real Estate","Other Real Estate",Canada,Shareholders,Financials,"Other Financials",Canada,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1308954040,2002/07/02,"1806,12710343392","Uni-Invest NV","Real Estate","Other Real Estate",Netherlands,"Investor Group",Financials,"Other Financials",Netherlands,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1292608020,2002/04/26,205,"Pinnacle Holdings Inc",Telecommunications,"Other Telecom","United States","Investor Group",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Specialized REITs (NEC)",,Completed,,,
939609040,1999/10/28,"13,372650462244","Alliance Developpement Capital",Financials,"Other Financials",France,"Acanthe Developpement",Financials,"Other Financials",France,"Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
869094020,1999/04/05,"887,276","Sunstone Hotel Investors Inc","Real Estate",REITs,"United States","Investor Group",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Hospitality REITs",,Completed,,,
738193040,1998/03/06,"15,8469213513242","Safestore PLC(Safeland PLC)",Industrials,"Other Industrials","United Kingdom",Shareholders,Financials,"Other Financials","United Kingdom","Disclosed Dollar Value Deal","Self-Storage REITs",,Completed,,,
666369020,1997/05/28,"0,9","Mission West Properties Inc","Real Estate",REITs,"United States","Investor Group",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1055787040,1996/11/01,"38,1304618204432","Craftline Ltd",Healthcare,"Healthcare Providers & Services (HMOs)","United Kingdom","Investor Group",Financials,"Other Financials","United Kingdom","Disclosed Dollar Value Deal","Healthcare REITs",,Completed,,,
536998040,1996/02/13,"649,199063939005","Diligentia AB","Real Estate","Real Estate Management & Development",Sweden,Shareholders,Financials,"Other Financials",Sweden,"Disclosed Dollar Value Deal","Diversified REITs",,Completed,,,
210779020,1991/06/19,"152,6","National Health Investors Inc","Real Estate",REITs,"United States",Shareholders,Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Healthcare REITs",,Completed,,,
2041183040,2009/08/07,"72,561978545888","Inverfin Sdn Bhd","Real Estate","Non Residential",Malaysia,"Hap Seng Realty(KL City)Sdn Bhd","Real Estate","Other Real Estate",Malaysia,"Disclosed Dollar Value Deal","Mortgage REITs",,Completed,,,
1514694040,2004/06/09,"1740,17482774686","Societe Fonciere Lyonnaise SA","Real Estate",REITs,France,"Inmobiliaria Colonial SA","Real Estate","Other Real Estate",Spain,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Spain,Completed,,,
101819020,1988/04/06,27,"Alexanders Inc","Real Estate",REITs,"United States","Interstate Properties Inc, The Trump Organization","Real Estate","Other Real Estate","United States","Disclosed Dollar Value Deal","Retail REITs",,Completed,,,
3095667040,2017/04/24,"323,406934455251","Generation Healthcare REIT","Real Estate",REITs,Australia,"NWH Australia AssetCo Pty Ltd","Real Estate","Real Estate Management & Development",Australia,"Disclosed Dollar Value Deal","Healthcare REITs",,Completed,,,
2636397040,2013/11/04,"22,8651220521307","Agro Finance REIT","Real Estate",REITs,Bulgaria,"Winslow Land Invest AD","Real Estate","Real Estate Management & Development",Bulgaria,"Disclosed Dollar Value Deal","Diversified REITs",,Completed,,,
2409674040,2012/03/16,"1,70890180172162","Fonciere Massena SCA","Real Estate",REITs,France,"Massena Property SAS","Real Estate","Real Estate Management & Development",France,"Disclosed Dollar Value Deal","Diversified REITs",,Completed,,,
2119322040,2009/10/19,"3,81383133936388","Continuum Health Care Inc",Healthcare,"Healthcare Providers & Services (HMOs)",Canada,"Hallmark Properties Ltd","Real Estate","Real Estate Management & Development","United States","Disclosed Dollar Value Deal","Healthcare REITs",,Completed,,,
3627512040,2020/08/28,"2299,48393242609","MCUBS MidCity Investment Corp","Real Estate",REITs,Japan,"Japan Retail Fund Investment Corp","Real Estate",REITs,Japan,"Disclosed Dollar Value Deal","Office REITs",Japan,Completed,,,
3505332040,2020/01/22,"7998,90954885547","Capitaland Commercial Trust","Real Estate",REITs,Singapore,"Capitaland Mall Trust","Real Estate",REITs,Singapore,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Singapore,Completed,,,
3483591040,2019/12/02,"1580,59610883558","Frasers Commercial Trust","Real Estate",REITs,Singapore,"Frasers Logistics & Industrial Trust","Real Estate",REITs,Singapore,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",Singapore,Completed,,,
3431548040,2019/07/18,"1199,07411665517","Pure Multi-Family REIT LP","Real Estate",REITs,Canada,"Cortland Partners LLC","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
3382218020,2019/04/11,"999,645","Carter Validus Mission Critical REIT Inc","Real Estate",REITs,"United States","Carter Validus Mission Critical REIT II Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Diversified REITs",,Completed,,,
1921292020,2007/11/05,"3075,627","American Financial Realty Trust","Real Estate",REITs,"United States","Gramercy Capital Corp","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
2447925020,2012/09/06,"2104,483","American Realty Capital Trust Inc","Real Estate","Non Residential","United States","Realty Income Corp","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
3287481040,2018/08/10,"109,076169068062","Aventus Property Group Pty Ltd","Real Estate","Non Residential",Australia,"Aventus Holdings Ltd","Real Estate",REITs,Australia,"Disclosed Dollar Value Deal","Retail REITs",,Completed,,,
2925445020,2016/02/26,"2597,087","Apollo Residential Mortgage Inc","Real Estate",REITs,"United States","Apollo Commercial Real Estate Finance Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Mortgage REITs","United States",Completed,,,
2690909020,2014/10/31,"2579,795","Aviv REIT Inc","Real Estate",REITs,"United States","Omega Healthcare Investors Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Healthcare REITs","United States",Completed,,,
2590117020,2013/12/09,"6374,023","BRE Properties Inc","Real Estate",REITs,"United States","Essex Property Trust Inc","Real Estate",REITs,"United States","Disclosed Dollar Value Deal","Residential REITs","United States",Completed,,,
3237470040,2018/04/20,"1001,07516263224","Beni Stabili SpA SIIQ","Real Estate",REITs,Italy,"Fonciere des Regions SA","Real Estate",REITs,France,"Disclosed Dollar Value Deal","Office REITs",France,Completed,,,
3062979040,2017/01/23,"381,274131274131","Brookfield Canada Office Properties","Real Estate",REITs,Canada,"Brookfield Property Partners LP","Real Estate",REITs,Bermuda,"Disclosed Dollar Value Deal","Commercial REITs (NEC)","United States",Completed,,,
