"Aviv REIT Ord Shs | Price History                                          14-May-2021 03:27",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AVIV.K^D15,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 31-Oct-2013 - 30-Nov-2014",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",80462359,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"32.00 - 34.00",17088345,"0,212376882959646",20,"0,0735294117647059",,,,,,,,,,,
"30.00 - 32.00",201425,"0,00250334445203129",1,"0,00367647058823529",,,,,,,,,,,
"28.00 - 30.00",22262001,"0,276675967205983",69,"0,253676470588235",,,,,,,,,,,
"26.00 - 28.00",15572251,"0,193534606659991",65,"0,238970588235294",,,,,,,,,,,
"24.00 - 26.00",21890043,"0,27205320937707",88,"0,323529411764706",,,,,,,,,,,
"22.00 - 24.00",3448294,"0,0428559893452788",29,"0,106617647058824",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"AVIV.K^D15 Statistics     Daily     31-Oct-2013 - 28-Nov-2014",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"34,71",2014/10/31,Max,5108548,2014/10/31,Advancing,44536248,Up,146,Up,"0,120598006644518",2014/10/31,Max,"173862785,1932",2014/10/31
Low,"22,74",2014/01/07,Min,22579,2013/11/29,Declining,34077175,Down,117,Down,"-0,0338521400778211",2013/12/02,Min,"3201239,4701",2014/09/16
Avg,"26,9114705882353",,Avg,"295817,496323529",,Total,80462359,Unch,8,Period,"0,326771653543307","31-Oct-2013 - 28-Nov-2014",Avg,"15293571,2461",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"AVIV.K^D15 History     Daily     31-Oct-2013 - 28-Nov-2014",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
2014/11/28,"33,7","0,400000000000006","0,0120120120120122","33,38","33,33","34,14",209542,"7101872,1498","49968750,8343001",,,,,,
2014/11/26,"33,3","0,169999999999995","0,00513130093570765","33,22","33,13","33,39",940649,"31309775,6996","42866878,6845001",,,,,,
2014/11/25,"33,13","0,0700000000000003","0,00211736237144586","32,61","32,61","33,21",589964,"19525804,076","11557102,9849",,,,,,
2014/11/24,"33,06","0,130000000000003","0,00394776799271189",33,"32,92","33,33",597012,"19763426,7031","-7968701,09109995",,,,,,
2014/11/21,"32,93","0,219999999999999","0,00672577193518798","32,96","32,87","33,12",547016,"18063188,486","-27732127,7942",,,,,,
2014/11/20,"32,71","0,210000000000001","0,00646153846153849","32,25","32,25","32,79",464895,"15211428,2004","-45795316,2802",,,,,,
2014/11/19,"32,5","-0,560000000000002","-0,0169388989715669","32,93","32,47","33,12",457897,"14955604,6032","-61006744,4806",,,,,,
2014/11/18,"33,06","-0,00999999999999801","-0,000302388872089447","33,16","32,89","33,2",447323,"14791498,1177","-46051139,8774",,,,,,
2014/11/17,"33,07","0,0300000000000011","0,00090799031477001","33,01","32,86","33,44",561201,"18638071,9117","-31259641,7597",,,,,,
2014/11/14,"33,04","-0,270000000000003","-0,00810567397178034","33,31","32,97","33,524",491195,"16274161,9812","-49897713,6714",,,,,,
2014/11/13,"33,31","0,109999999999999","0,00331325301204818","33,3","33,3","33,66",522190,"17455911,9733","-33623551,6902",,,,,,
2014/11/12,"33,2","-0,0599999999999952","-0,00180396873120851","33,2","32,96","33,46",558298,"18534677,1342","-51079463,6635",,,,,,
2014/11/11,"33,26","-0,0300000000000011","-0,000901171522979908","33,21","33,08","33,37",1039795,"34559854,4974","-32544786,5292999",,,,,,
2014/11/10,"33,29","0,119999999999997","0,00361772686162187","33,18","33,16","33,375",692193,"23030347,4066","2015067,96810005",,,,,,
2014/11/07,"33,17","-0,0399999999999991","-0,00120445648900931","33,17","33,09","33,51",570344,"18948446,4988","-21015279,4384999",,,,,,
2014/11/06,"33,21","-0,390000000000001","-0,0116071428571429","33,63","33,18","33,95",363184,"12122811,518","-2066832,93969995",,,,,,
2014/11/05,"33,6","-0,100000000000001","-0,00296735905044515","33,64","33,48","33,99",753435,"25357704,6898","10055978,5783001",,,,,,
2014/11/04,"33,7","-0,119999999999997","-0,00354819633353038","33,67","33,44","34,08",1107135,"37218962,8215","35413683,2681001",,,,,,
2014/11/03,"33,82","0,0900000000000034","0,00266824785057822","33,51","33,51","34,38",1066529,"36271167,078","72632646,0896001",,,,,,
2014/10/31,"33,73","3,63","0,120598006644518","33,76","30,1","34,71",5108548,"173862785,1932","36361479,0116",,,,,,
2014/10/30,"30,1","0,240000000000002","0,00803750837240462","29,74","29,62","30,1",201425,"6167555,0841","-137501306,1816",,,,,,
2014/10/29,"29,86","-0,0300000000000011","-0,00100368016058886","29,84","29,57","29,94",384735,"11465059,79","-143668861,2657",,,,,,
2014/10/28,"29,89","0,330000000000002","0,0111637347767254","29,55","29,37","29,89",285082,"8468406,2654","-132203801,4757",,,,,,
2014/10/27,"29,56","0,5","0,0172057811424639","29,06","28,98","29,56",111345,"3275101,4135","-140672207,7411",,,,,,
2014/10/24,"29,06","-0,0700000000000003","-0,00240302094061106","29,2","28,63","29,33",151165,"4421992,1543","-143947309,1546",,,,,,
2014/10/23,"29,13","0,18","0,00621761658031087","29,19","28,95","29,24",236507,"6889163,4442","-139525317,0003",,,,,,
2014/10/22,"28,95","0,0700000000000003","0,00242382271468145","28,97","28,85","29,23",177251,"5140595,7582","-146414480,4445",,,,,,
2014/10/21,"28,88","0,0799999999999983","0,00277777777777772","28,87","28,62","29,11",157818,"4554871,7979","-151555076,2027",,,,,,
2014/10/20,"28,8","0,710000000000001","0,0252758988964044","28,01","28,01","28,91",148374,"4260371,3796","-156109948,0006",,,,,,
2014/10/17,"28,09","-0,140000000000001","-0,00495926319518245","28,46","27,96","28,48",275596,"7765446,7068","-160370319,3802",,,,,,
2014/10/16,"28,23","-0,399999999999999","-0,0139713587146349","28,54","28,2","28,89",524963,"14934927,1639","-152604872,6734",,,,,,
2014/10/15,"28,63","0,140000000000001","0,00491400491400493","28,42","28,28","28,97",290760,"8378654,0133","-137669945,5095",,,,,,
2014/10/14,"28,49","0,629999999999999","0,0226130653266331","27,92","27,92","28,51",232778,"6603062,6842","-146048599,5228",,,,,,
2014/10/13,"27,86","0,189999999999998","0,00686664257318387","27,73","27,7","28,24",127089,"3560679,0837","-152651662,207",,,,,,
2014/10/10,"27,67","-0,0699999999999967","-0,00252343186733946","27,69","27,64","28,2",247057,"6884077,5999","-156212341,2907",,,,,,
2014/10/09,"27,74","0,299999999999997","0,0109329446064139","27,45","27,41","27,82",228952,"6336093,7714","-149328263,6908",,,,,,
2014/10/08,"27,44","0,370000000000001","0,013668267454747","27,06","26,944","27,44",184674,"5040331,5047","-155664357,4622",,,,,,
2014/10/07,"27,07","-0,219999999999999","-0,00806156101135943","27,25","26,94","27,26",240131,"6498937,7338","-160704688,9669",,,,,,
2014/10/06,"27,29","0,419999999999998","0,0156308150353553","26,9","26,708","27,35",226371,"6162803,5974","-154205751,2331",,,,,,
2014/10/03,"26,87","0,420000000000002","0,0158790170132326","26,7","26,4","26,9",177645,"4762185,4559","-160368554,8305",,,,,,
2014/10/02,"26,45","0,16","0,00608596424496007","26,32","26,09","26,46",326613,"8589976,4821","-165130740,2864",,,,,,
2014/10/01,"26,29","-0,0600000000000023","-0,00227703984819743","26,36","26,2","26,71",393630,"10399324,0845","-173720716,7685",,,,,,
2014/09/30,"26,35","-0,149999999999999","-0,00566037735849051","26,49","26,23","26,65",462215,"12202483,0738","-163321392,684",,,,,,
2014/09/29,"26,5","-0,34","-0,0126676602086438","26,64","26,48","26,97",302634,"8055141,1891","-151118909,6102",,,,,,
2014/09/26,"26,84","0,0799999999999983","0,00298953662182355","26,79","26,63","27,01",157311,"4230462,1247","-143063768,4211",,,,,,
2014/09/25,"26,76","-0,18","-0,00668151447661469","26,96","26,54","26,96",129141,"3454853,3656","-147294230,5458",,,,,,
2014/09/24,"26,94","-0,299999999999997","-0,0110132158590307","26,85","26,644","27,2",178153,"4811392,6266","-143839377,1802",,,,,,
2014/09/23,"27,24","-0,25","-0,00909421607857403","27,5","27,2","27,61",194583,"5314645,3547","-139027984,5536",,,,,,
2014/09/22,"27,49","0,0999999999999979","0,00365096750638912","27,34","27,16","27,64",181941,"5004439,8929","-133713339,1989",,,,,,
2014/09/19,"27,39","-0,0799999999999983","-0,00291226792864937","27,56","27,21","27,61",935897,"25649629,6952","-138717779,0918",,,,,,
2014/09/18,"27,47","-0,190000000000001","-0,00686912509038327","27,73","27,34","27,73",187249,"5142890,1945","-113068149,3966",,,,,,
2014/09/17,"27,66","0,109999999999999","0,00399274047186931","27,57","27,22","27,74",164827,"4532526,1708","-107925259,2021",,,,,,
2014/09/16,"27,55","0,260000000000002","0,00952729937706125","27,28","27,18","27,57",115168,"3201239,4701","-112457785,3729",,,,,,
2014/09/15,"27,29","-0,109999999999999","-0,00401459854014596","27,49","27,2","27,49",137044,"3739829,1843","-115659024,843",,,,,,
2014/09/12,"27,4","-0,84","-0,0297450424929178","28,61","27,28","28,876",201264,"5569631,2053","-111919195,6587",,,,,,
2014/09/11,"28,24","0,139999999999997","0,00498220640569384","28,01","27,91","28,26",173754,"4889061,0057","-106349564,4534",,,,,,
2014/09/10,"28,1","-0,629999999999999","-0,0219282979463975","28,74","28,03","28,74",144267,"4075484,4168","-111238625,4591",,,,,,
2014/09/09,"28,73","-0,0999999999999979","-0,00346860908775574","28,84","28,56","28,8802",172297,"4948678,5913","-107163141,0423",,,,,,
2014/09/08,"28,83","0,209999999999997","0,00733752620545064","28,64","28,55","28,85",237943,"6829505,5412","-102214462,451",,,,,,
2014/09/05,"28,62","0,190000000000001","0,00668308125219843","28,36","28,3","28,63",338455,"9621004,8506","-109043967,9922",,,,,,
2014/09/04,"28,43","-0,27","-0,00940766550522647","28,68","28,21","28,68",363282,"10314064,1697","-118664972,8428",,,,,,
2014/09/03,"28,7","-0,330000000000002","-0,0113675508095075","29,13","28,57","29,22",3471733,"99736800,258","-108350908,6731",,,,,,
2014/09/02,"29,03","-0,23","-0,00786056049213945","29,22","29,02","29,36",295456,"8614108,4151","-8614108,4151",,,,,,
2014/08/29,"29,26","0,270000000000003","0,0093135563987583","29,13","28,96","29,43",458636,,0,,,,,,
2014/08/28,"28,99","0,859999999999999","0,030572342694632","28,88","28,75","29,1",800507,,0,,,,,,
2014/08/27,"28,13",0,0,"28,2","27,96","28,2",91175,,0,,,,,,
2014/08/26,"28,13","0,0500000000000007","0,00178062678062681","28,1","28,02","28,2",121994,,0,,,,,,
2014/08/25,"28,08","-0,25","-0,00882456759618779","28,47","27,9","28,47",131049,,0,,,,,,
2014/08/22,"28,33","-0,0400000000000027","-0,0014099400775468","28,34","28,12","28,45",105001,,0,,,,,,
2014/08/21,"28,37","-0,119999999999997","-0,00421200421200412","28,48","28,35","28,78",126475,,0,,,,,,
2014/08/20,"28,49","0,219999999999999","0,00778210116731514","28,25","28,06","28,49",90861,,0,,,,,,
2014/08/19,"28,27","0,169999999999998","0,00604982206405687","28,21","28,13","28,31",78145,,0,,,,,,
2014/08/18,"28,1","0,240000000000002","0,00861450107681271","28,08","27,94","28,14",154941,,0,,,,,,
2014/08/15,"27,86","0,0500000000000007","0,00179791441927367","27,99","27,69","28,08",204639,,0,,,,,,
2014/08/14,"27,81","-0,0899999999999999","-0,0032258064516129","27,95","27,77","27,99",177051,,0,,,,,,
2014/08/13,"27,9","0,109999999999999","0,0039582583663188","27,77","27,7","28,05",205682,,0,,,,,,
2014/08/12,"27,79",0,0,"27,75","27,71","27,89",141443,,0,,,,,,
2014/08/11,"27,79","0,0899999999999999","0,00324909747292418","27,79","27,66","28,04",118395,,0,,,,,,
2014/08/08,"27,7","0,34","0,0124269005847953","27,32","27,28","27,71",151890,,0,,,,,,
2014/08/07,"27,36","0,34","0,0125832716506292","27,13","27,07","27,45",112040,,0,,,,,,
2014/08/06,"27,02","-0,400000000000002","-0,0145878920495989","27,28","26,91","27,45",211597,,0,,,,,,
2014/08/05,"27,42","-0,609999999999999","-0,0217623974313236","28,03","26,95","28,03",569066,,0,,,,,,
2014/08/04,"28,03","-0,219999999999999","-0,00778761061946899","28,35","27,845","28,35",158225,,0,,,,,,
2014/08/01,"28,25","-0,199999999999999","-0,00702987697715288","28,42","28,09","28,46",276719,,0,,,,,,
2014/07/31,"28,45","-0,330000000000002","-0,011466296038916","28,73","28,26","28,73",204174,,0,,,,,,
2014/07/30,"28,78","0,0700000000000003","0,00243817485196797","28,81","28,35","28,85",183262,,0,,,,,,
2014/07/29,"28,71","-0,219999999999999","-0,00760456273764255","29,01","28,68","29,01",151520,,0,,,,,,
2014/07/28,"28,93","0,0799999999999983","0,00277296360485263","28,89","28,7","29,07",97424,,0,,,,,,
2014/07/25,"28,85","-0,399999999999999","-0,0136752136752136","29,19","28,8","29,3299",157234,,0,,,,,,
2014/07/24,"29,25","0,140000000000001","0,00480934386808659","29,18","29,15","29,36",223387,,0,,,,,,
2014/07/23,"29,11","0,0700000000000003","0,00241046831955924","29,14","29,04","29,18",128891,,0,,,,,,
2014/07/22,"29,04","0,439999999999998","0,0153846153846153","28,76","28,68","29,1",598457,,0,,,,,,
2014/07/21,"28,6","0,200000000000003","0,00704225352112686","28,39","28,23","28,63",132055,,0,,,,,,
2014/07/18,"28,4","0,289999999999999","0,0103166133048737","28,08","28,07","28,44",264829,,0,,,,,,
2014/07/17,"28,11","0,00999999999999801","0,000355871886120926","28,09","28,01","28,2",109842,,0,,,,,,
2014/07/16,"28,1","0,0300000000000011","0,00106875667972929","28,21","27,9533","28,23",133412,,0,,,,,,
2014/07/15,"28,07","0,170000000000002","0,00609318996415777","27,9","27,78","28,08",294662,,0,,,,,,
2014/07/14,"27,9","-0,100000000000001","-0,00357142857142862",28,"27,81",28,282898,,0,,,,,,
2014/07/11,28,"0,0500000000000007","0,00178890876565298","28,05","27,77","28,05",210239,,0,,,,,,
2014/07/10,"27,95","0,0299999999999976","0,00107449856733516","27,75","27,62","28,05",298995,,0,,,,,,
2014/07/09,"27,92","0,0700000000000003","0,00251346499102335","27,85","27,73","28,06",298054,,0,,,,,,
2014/07/08,"27,85","-0,0899999999999999","-0,00322118826055833","27,93","27,77","28,042",290872,,0,,,,,,
2014/07/07,"27,94","-0,139999999999997","-0,00498575498575488","28,06","27,83","28,21",383582,,0,,,,,,
2014/07/03,"28,08","-0,0400000000000027","-0,00142247510668573","28,1","27,92","28,1",129368,,0,,,,,,
2014/07/02,"28,12","-0,219999999999999","-0,00776287932251231","28,24","27,8","28,24",243623,,0,,,,,,
2014/07/01,"28,34","0,169999999999998","0,00603478878239255","28,2","28,138","28,58",324559,,0,,,,,,
2014/06/30,"28,17","-0,209999999999997","-0,00739957716701893","28,44","28,04","28,44",319188,,0,,,,,,
2014/06/27,"28,38","-0,130000000000003","-0,00455980357769213","28,34","28,25","28,72",837408,,0,,,,,,
2014/06/26,"28,51","-0,129999999999999","-0,00453910614525136","28,53","28,4","28,728",356991,,0,,,,,,
2014/06/25,"28,64","-0,379999999999999","-0,0130944176430048","28,61","28,42","28,83",241586,,0,,,,,,
2014/06/24,"29,02","0,0300000000000011","0,00103483959986206","28,94","28,81","29,08",211994,,0,,,,,,
2014/06/23,"28,99","0,0799999999999983","0,00276720857834653","29,03","28,9","29,25",289429,,0,,,,,,
2014/06/20,"28,91","0,34","0,0119005950297515","28,76","28,67","29,18",1107644,,0,,,,,,
2014/06/19,"28,57","0,420000000000002","0,0149200710479574","28,16","28,16","28,66",444959,,0,,,,,,
2014/06/18,"28,15","0,119999999999997","0,00428112736353897","27,99","27,961","28,21",420702,,0,,,,,,
2014/06/17,"28,03","-0,459999999999997","-0,0161460161460161","28,32","27,97","28,49",352054,,0,,,,,,
